longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,distance_proximity,median_income,median_house_value,
32.61279,0.28141,41,880,129,322,126,KANSANGA MARKET,8.3252,100000,
32.61279,0.28141,21,7099,1106,2401,1138,KANSANGA MARKET,8.3014,150000,
32.61279,0.28141,52,1467,190,496,177,KANSANGA MARKET,7.2574,200000,
32.61279,0.28141,52,1274,235,558,219,KANSANGA MARKET,5.6431,250000,
32.61279,0.28141,52,1627,280,565,259,KANSANGA MARKET,3.8462,300000,
32.61279,0.28141,52,919,213,413,193,KANSANGA MARKET,4.0368,350000,
32.61279,0.28141,52,2535,489,1094,514,KANSANGA MARKET,3.6591,400000,
32.61279,0.28141,52,3104,687,1157,647,KANSANGA MARKET,3.12,450000,
32.61279,0.28141,42,2555,665,1206,595,KANSANGA MARKET,2.0804,500000,
32.61279,0.28141,52,3549,707,1551,714,KANSANGA MARKET,3.6912,550000,
32.61279,0.28141,52,2202,434,910,402,KANSANGA MARKET,3.2031,600000, 
32.61279,0.28141,52,3503,752,1504,734,KANSANGA MARKET,3.2705,650000,
32.61279,0.28141,52,2491,474,1098,468,KANSANGA MARKET,3.075,700000,
32.61279,0.28141,52,696,191,345,174,KANSANGA MARKET,2.6736,750000,
32.61279,0.28141,52,2643,626,1212,620,KANSANGA MARKET,1.9167,800000,
32.61279,0.28141,50,1120,283,697,264,KANSANGA MARKET,2.125,850000,
32.61279,0.28141,52,1966,347,793,331,KANSANGA MARKET,2.775,900000,
32.61279,0.28141,52,1228,293,648,303,KANSANGA MARKET,2.1202,950000,
32.61279,0.28141,50,2239,455,990,419,KANSANGA MARKET,1.9911,1000000,
32.61279,0.28141,52,1503,298,690,275,KANSANGA MARKET,2.6033,1100000,
32.61279,0.28141,40,751,184,409,166,KANSANGA MARKET,1.3578,1200000,
32.61279,0.28141,42,1639,367,929,366,KANSANGA MARKET,1.7135,1300000,
32.61279,0.28141,52,2436,541,1015,478,KANSANGA MARKET,1.725,1400000,
32.61279,0.28141,52,1688,337,853,325,KANSANGA MARKET,2.1806,1500000,
32.61279,0.28141,52,2224,437,1006,422,KANSANGA MARKET,2.6,1600000,
32.61279,0.28141,41,535,123,317,119,KANSANGA MARKET,2.4038,1700000,
32.61279,0.28141,49,1130,244,607,239,KANSANGA MARKET,2.4597,1800000,
32.61279,0.28141,52,1898,421,1102,397,KANSANGA MARKET,1.808,1900000,
32.61279,0.28141,50,2082,492,1131,473,KANSANGA MARKET,1.6424,2000000,
32.61279,0.28141,52,729,160,395,155,KANSANGA MARKET,1.6875,120000,
32.61279,0.28141,49,1916,447,863,378,KANSANGA MARKET,1.9274,130000,
32.61279,0.28141,52,2153,481,1168,441,KANSANGA MARKET,1.9615,140000,
32.61279,0.28141,48,1922,409,1026,335,KANSANGA MARKET,1.7969,110000,
32.61279,0.28141,49,1655,366,754,329,KANSANGA MARKET,1.375,160000,
32.61279,0.28141,51,2665,574,1258,536,KANSANGA MARKET,2.7303,170000,
32.61279,0.28141,49,1215,282,570,264,KANSANGA MARKET,1.4861,180000,
32.61279,0.28141,48,1798,432,987,374,KANSANGA MARKET,1.0972,190000,
32.61279,0.28141,52,1511,390,901,403,KANSANGA MARKET,1.4103,210000,
32.61279,0.28141,52,1470,330,689,309,KANSANGA MARKET,3.48,220000,
32.61279,0.28141,52,2432,715,1377,696,KANSANGA MARKET,2.5898,176000,
32.61279,0.28141,52,1665,419,946,395,KANSANGA MARKET,2.0978,155400,
32.61279,0.28141,51,936,311,517,249,KANSANGA MARKET,1.2852,150000,
32.61279,0.28141,49,713,202,462,189,KANSANGA MARKET,1.025,230000,
32.61279,0.28141,52,950,202,467,198,KANSANGA MARKET,3.9643,240000,
32.61279,0.28141,52,1443,311,660,292,KANSANGA MARKET,3.0125,260000,
32.61279,0.28141,52,1656,420,718,382,KANSANGA MARKET,2.6768,270000,
32.61279,0.28141,50,1125,322,616,304,KANSANGA MARKET,2.026,280000,
32.61279,0.28141,43,1007,312,558,253,KANSANGA MARKET,1.7348,290000,
32.61279,0.28141,40,624,195,423,160,KANSANGA MARKET,0.9506,310000,
32.61279,0.28141,40,946,375,700,352,KANSANGA MARKET,1.775,320000,
32.61279,0.28141,21,896,453,735,438,KANSANGA MARKET,0.9218,330000,
32.61279,0.28141,43,1868,456,1061,407,KANSANGA MARKET,1.5045,340000,
32.61279,0.28141,41,3221,853,1959,720,KANSANGA MARKET,1.1108,360000,
32.61279,0.28141,52,1630,456,1162,400,KANSANGA MARKET,1.2475,370000,
32.61279,0.28141,52,1170,235,701,233,KANSANGA MARKET,1.6098,380000,
32.61279,0.28141,52,945,243,576,220,KANSANGA MARKET,1.4113,390000,
32.61279,0.28141,52,1238,288,622,259,KANSANGA MARKET,1.5057,410000,
32.61279,0.28141,52,1489,335,728,244,KANSANGA MARKET,0.8172,420000,
32.61279,0.28141,52,1387,341,1074,304,KANSANGA MARKET,1.2171,430000,
32.61279,0.28141,2,158,43,94,57,KANSANGA MARKET,2.5625,440000,
32.61279,0.28141,52,1121,211,554,187,KANSANGA MARKET,3.3929,450000,
32.61279,0.28141,49,135,29,86,23,KANSANGA MARKET,6.1183,460000,
32.61279,0.28141,50,760,190,377,122,KANSANGA MARKET,0.9011,470000,
32.61279,0.28141,52,1224,237,521,159,KANSANGA MARKET,1.191,480000,
32.61279,0.28141,48,828,182,392,133,KANSANGA MARKET,2.5938,490000,
32.61279,0.28141,52,1010,209,604,187,KANSANGA MARKET,1.1667,500000,
32.61279,0.28141,48,1455,354,788,332,KANSANGA MARKET,0.8056,510000,
32.61279,0.28141,52,1027,244,492,147,KANSANGA MARKET,2.6094,520000,
32.61279,0.28141,52,572,109,274,82,KANSANGA MARKET,1.8516,530000,
32.61279,0.28141,46,2801,644,1823,611,KANSANGA MARKET,0.9802,540000,
32.61279,0.28141,26,768,152,392,127,KANSANGA MARKET,1.7719,550000,
32.61279,0.28141,46,935,297,582,277,KANSANGA MARKET,0.7286,560000,
32.61279,0.28141,49,844,204,560,152,KANSANGA MARKET,1.75,570000,
32.61279,0.28141,46,12,4,18,7,KANSANGA MARKET,0.4999,580000,
32.61279,0.28141,20,835,161,290,133,KANSANGA MARKET,2.483,590000,
32.61279,0.28141,17,1237,462,762,439,KANSANGA MARKET,0.9241,600000,
32.61279,0.28141,36,2914,562,1236,509,KANSANGA MARKET,2.4464,610000,
32.61279,0.28141,19,1207,243,721,207,KANSANGA MARKET,1.1111,620000,
32.61279,0.28141,23,1745,374,1054,325,KANSANGA MARKET,0.8026,630000,
32.61279,0.28141,38,684,176,344,155,KANSANGA MARKET,2.0114,640000,
32.61279,0.28141,17,924,289,609,289,KANSANGA MARKET,1.5,650000,
32.61279,0.28141,52,210,56,183,56,KANSANGA MARKET,1.1667,660000,
32.61279,0.28141,52,340,97,200,87,KANSANGA MARKET,1.5208,670000,
32.61279,0.28141,52,386,164,346,155,KANSANGA MARKET,0.8075,680000,
32.61279,0.28141,35,948,184,467,169,KANSANGA MARKET,1.8088,690000,
32.61279,0.28141,52,773,143,377,115,KANSANGA MARKET,2.4083,700000,
32.61279,0.28141,40,880,451,582,380,KANSANGA MARKET,0.977,710000,
32.61279,0.28141,10,875,348,546,330,KANSANGA MARKET,0.76,720000,
32.61279,0.28141,10,105,42,125,39,KANSANGA MARKET,0.9722,730000,
32.61279,0.28141,52,249,78,396,85,KANSANGA MARKET,1.2434,740000,
32.61279,0.28141,16,994,392,800,362,KANSANGA MARKET,2.0938,760000,
32.61279,0.28141,52,215,87,904,88,KANSANGA MARKET,0.8668,770000,
32.61279,0.28141,52,96,31,191,34,KANSANGA MARKET,0.75,780000,
32.61279,0.28141,27,1055,347,718,302,KANSANGA MARKET,2.6354,790000,
32.61279,0.28141,39,1715,623,1327,467,KANSANGA MARKET,1.8477,800000,
32.61279,0.28141,36,5329,2477,3469,2323,KANSANGA MARKET,2.0096,810000,
32.61279,0.28141,31,4596,1331,2048,1180,KANSANGA MARKET,2.8345,820000,
32.61279,0.28141,29,335,107,202,91,KANSANGA MARKET,2.0062,830000,
32.61279,0.28141,22,3682,1270,2024,1250,KANSANGA MARKET,1.2185,840000,
32.61279,0.28141,37,3633,1085,1838,980,KANSANGA MARKET,2.6104,850000,
32.61279,0.28141,29,4656,1414,2304,1250,KANSANGA MARKET,2.4912,860000,
32.61279,0.28141,28,5806,1603,2563,1497,KANSANGA MARKET,3.2177,870000,
32.61279,0.28141,39,854,242,389,228,KANSANGA MARKET,3.125,880000,
32.61279,0.28141,52,2155,701,895,613,KANSANGA MARKET,2.5795,890000,
32.61279,0.28141,34,5871,1914,2689,1789,KANSANGA MARKET,2.8406,900000,
32.61279,0.28141,52,1509,225,674,244,KANSANGA MARKET,4.9306,910000,
32.61279,0.28141,52,2026,482,709,456,KANSANGA MARKET,3.2727,920000,
32.61279,0.28141,52,1758,460,686,422,KANSANGA MARKET,3.1691,930000,
32.61279,0.28141,52,3481,751,1444,718,KANSANGA MARKET,3.9,940000,
32.61279,0.28141,28,3337,855,1520,802,KANSANGA MARKET,3.9063,950000,
32.61279,0.28141,52,1424,289,550,253,KANSANGA MARKET,5.0917,960000,
32.61279,0.28141,32,3809,1098,1806,1022,KANSANGA MARKET,2.6429,970000,
32.61279,0.28141,26,3959,1196,1749,1217,KANSANGA MARKET,3.0233,980000,
32.61279,0.28141,52,2376,559,939,519,KANSANGA MARKET,3.1484,990000,
32.61279,0.28141,35,1613,428,675,422,KANSANGA MARKET,3.4722,1000000,
32.61279,0.28141,52,1279,287,534,291,KANSANGA MARKET,3.1429,1100000,
32.61279,0.28141,28,5022,1750,2558,1661,KANSANGA MARKET,2.4234,1200000,
32.61279,0.28141,52,4190,1105,1786,1037,KANSANGA MARKET,3.0897,1300000,
32.61279,0.28141,50,2515,399,970,373,KANSANGA MARKET,5.8596,1400000,
32.61279,0.28141,47,3175,454,1098,485,KANSANGA MARKET,5.2868,1500000,
32.61279,0.28141,41,2576,406,794,376,KANSANGA MARKET,5.956,1600000,
32.61279,0.28141,37,334,54,98,47,KANSANGA MARKET,4.9643,1700000,
32.61279,0.28141,52,2800,411,1061,403,KANSANGA MARKET,6.3434,1800000,
32.61279,0.28141,52,3529,574,1177,555,KANSANGA MARKET,5.1773,1900000,
32.61279,0.28141,52,2612,365,901,367,KANSANGA MARKET,7.2354,2000000,
32.61279,0.28141,28,5287,1048,2031,956,KANSANGA MARKET,5.457,337300,
32.61279,0.28141,50,2935,473,1031,479,KANSANGA MARKET,7.5,295200,
32.61279,0.28141,44,3424,597,1358,597,KANSANGA MARKET,6.0194,292300,
32.61279,0.28141,40,4991,674,1616,654,KANSANGA MARKET,7.5544,411500,
32.61279,0.28141,30,2211,346,844,343,KANSANGA MARKET,6.0666,311500,
32.61279,0.28141,34,3038,490,1140,496,KANSANGA MARKET,7.0548,325900,
32.61279,0.28141,18,1617,210,533,194,KANSANGA MARKET,11.6017,392600,
32.61279,0.28141,35,2865,460,1072,443,KANSANGA MARKET,7.4882,319300,
32.61279,0.28141,34,5065,788,1627,766,KANSANGA MARKET,6.8976,333300,
32.61279,0.28141,28,1326,184,463,190,KANSANGA MARKET,8.2049,335200,
32.61279,0.28141,26,1589,223,542,211,KANSANGA MARKET,8.401,351200,
32.61279,0.28141,29,1791,271,661,269,KANSANGA MARKET,6.8538,368900,
32.61279,0.28141,32,1835,264,635,263,KANSANGA MARKET,8.317,365900,
32.61279,0.28141,37,1229,181,420,176,KANSANGA MARKET,7.0175,366700,
32.61279,0.28141,39,3770,534,1265,500,KANSANGA MARKET,6.3302,362800,
32.61279,0.28141,30,292,38,126,52,KANSANGA MARKET,6.3624,483300,
32.61279,0.28141,52,2375,333,813,350,KANSANGA MARKET,7.0549,331400,
32.61279,0.28141,45,2964,436,1067,426,KANSANGA MARKET,6.7851,323500,
32.61279,0.28141,50,2833,605,1260,552,KANSANGA MARKET,2.8929,216700,
32.61279,0.28141,38,2254,535,951,487,KANSANGA MARKET,3.0812,233100,
32.61279,0.28141,52,1389,212,510,224,KANSANGA MARKET,5.2402,296400,
32.61279,0.28141,52,1971,335,765,308,KANSANGA MARKET,6.5217,273700,
32.61279,0.28141,52,2183,465,1129,460,KANSANGA MARKET,3.2632,227700,
32.61279,0.28141,52,2286,464,1073,441,KANSANGA MARKET,3.0298,199600,
32.61279,0.28141,52,2721,541,1185,515,KANSANGA MARKET,4.5428,239800,
32.61279,0.28141,52,2024,339,756,340,KANSANGA MARKET,4.072,270100,
32.61279,0.28141,52,2944,536,1034,521,KANSANGA MARKET,5.3509,302100,
32.61279,0.28141,52,2033,486,787,459,KANSANGA MARKET,3.1603,269500,
32.61279,0.28141,52,1433,229,612,213,KANSANGA MARKET,4.7708,314700,
32.61279,0.28141,52,2927,402,1021,380,KANSANGA MARKET,8.1564,390100,
32.61279,0.28141,52,2315,292,861,258,KANSANGA MARKET,8.8793,410300,
32.61279,0.28141,52,2485,313,953,327,KANSANGA MARKET,6.8591,352400,
32.61279,0.28141,52,1490,238,634,256,KANSANGA MARKET,6.0302,287300,
32.61279,0.28141,52,2814,365,878,352,KANSANGA MARKET,7.508,348700,
32.61279,0.28141,52,2093,550,918,483,KANSANGA MARKET,2.7477,243800,
32.61279,0.28141,52,888,168,360,175,KANSANGA MARKET,2.1944,211500,
32.61279,0.28141,52,2087,510,1197,488,KANSANGA MARKET,3.0149,218400,
32.61279,0.28141,52,2513,502,1048,518,KANSANGA MARKET,3.675,269900,
32.61279,0.28141,46,3232,835,1373,747,KANSANGA MARKET,3.225,218800,
32.61279,0.28141,42,4120,1065,1715,1015,KANSANGA MARKET,2.9345,225000,
32.61279,0.28141,43,2364,792,1359,722,KANSANGA MARKET,2.1429,250000,
32.61279,0.28141,41,1471,469,1062,413,KANSANGA MARKET,1.6121,171400,
32.61279,0.28141,29,2468,864,1335,773,KANSANGA MARKET,1.3929,193800,
32.61279,0.28141,27,1632,492,1171,429,KANSANGA MARKET,2.3173,125000,
32.61279,0.28141,45,1786,526,1475,460,KANSANGA MARKET,1.7772,975000,
32.61279,0.28141,50,629,188,742,196,KANSANGA MARKET,2.6458,125000,
32.61279,0.28141,52,1339,391,1086,363,KANSANGA MARKET,2.181,138800,
32.61279,0.28141,36,1678,606,1645,543,KANSANGA MARKET,2.2303,116700,
32.61279,0.28141,43,2344,647,1710,644,KANSANGA MARKET,1.6504,151800,
32.61279,0.28141,52,996,228,731,228,KANSANGA MARKET,2.2697,127000,
32.61279,0.28141,52,1591,373,1118,347,KANSANGA MARKET,2.1563,128600,
32.61279,0.28141,52,1586,398,1006,335,KANSANGA MARKET,2.1348,140600,
32.61279,0.28141,47,2046,588,1213,554,KANSANGA MARKET,2.6292,182700,
32.61279,0.28141,52,1192,289,772,257,KANSANGA MARKET,2.3833,146900,
32.61279,0.28141,52,1803,420,1321,401,KANSANGA MARKET,2.957,122800,
32.61279,0.28141,49,2838,749,1487,677,KANSANGA MARKET,2.5238,169300,
32.61279,0.28141,52,783,184,488,186,KANSANGA MARKET,1.9375,126600,
32.61279,0.28141,51,1590,414,949,392,KANSANGA MARKET,1.9028,127900,
32.61279,0.28141,50,1746,480,1149,415,KANSANGA MARKET,2.25,123500,
32.61279,0.28141,52,1252,299,844,280,KANSANGA MARKET,2.3929,111900,
32.61279,0.28141,43,5963,1344,4367,1231,KANSANGA MARKET,2.1917,112800,
32.61279,0.28141,52,1783,395,1659,412,KANSANGA MARKET,2.9357,107900,
32.61279,0.28141,30,999,264,1011,263,KANSANGA MARKET,1.8854,137500,
32.61279,0.28141,39,1469,431,1464,389,KANSANGA MARKET,2.1638,105500,
32.61279,0.28141,47,1372,395,1237,303,KANSANGA MARKET,2.125,955000,
32.61279,0.28141,52,674,180,647,168,KANSANGA MARKET,3.375,116100,
32.61279,0.28141,43,1626,376,1284,357,KANSANGA MARKET,2.2542,112200,
32.61279,0.28141,51,175,43,228,55,KANSANGA MARKET,2.1,750000,
32.61279,0.28141,39,461,129,381,123,KANSANGA MARKET,1.6,112500,
32.61279,0.28141,52,902,237,846,227,KANSANGA MARKET,3.625,125000,
32.61279,0.28141,20,2373,779,1659,676,KANSANGA MARKET,1.6929,115000,
32.61279,0.28141,52,391,128,520,138,KANSANGA MARKET,1.6471,950000,
32.61279,0.28141,52,1137,301,866,259,KANSANGA MARKET,2.59,964000,
32.61279,0.28141,52,769,206,612,183,KANSANGA MARKET,2.57,720000,
